desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,colonia,descripcion,mts_const,mts,colloc,precio_m2
Albanna Residencial,terrenos en conkal,goodlers,,443520.0,443520.0,2024-03-20 06:38:46.719828,21.085324,-89.488619,443520.0,,,,,,,
Plenum Residencial,terrenos en cholul,goodlers,cholul,1244100.0,1244100.0,2024-03-20 06:38:46.719828,21.048781,-89.529281,1244100.0,,,,,,cholul,
Vía Kali,terrenos en cholul,goodlers,cholul,1136551.0,1136551.0,2024-03-20 06:38:46.719828,21.037847,-89.572668,1136551.0,,,,,,cholul,
Dzidzil-ha,terrenos en dzidzilche,goodlers,dzidzilche,656383.0,1904896.0,2024-03-20 06:38:46.719828,21.158645,-89.697692,1280639.5,,,,,,dzidzilche,
Tamara,terrenos en zona country,goodlers,,4797033.0,5775924.0,2024-03-20 06:38:46.719828,21.106305,-89.633329,5286478.5,,,,,,,
Gran Kanan,terrenos en telchac,goodlers,,252000.0,322000.0,2024-03-20 06:38:46.719828,21.316266,-89.254816,287000.0,,,,,,,
Vía Cholul,terrenos en cholul,goodlers,cholul,1269027.0,3619201.0,2024-03-20 06:38:46.719828,21.04011,-89.518831,2444114.0,,,,,,cholul,
Cuatro Lagos,terrenos en sierra papacal,goodlers,sierra papacal,313053.0,666790.0,2024-03-20 06:38:46.719828,21.126322,-89.845503,489921.5,,,,,,sierra papacal,
Morabela,terrenos en tixcuytun,goodlers,tixcuytun,1763231.0,3539757.0,2024-03-20 06:38:46.719828,21.048641,-89.5805,2651494.0,,,,,,tixcuytun,
Real Portanza,terrenos en conkal,goodlers,,710400.0,1133521.0,2024-03-20 06:38:46.719828,21.085284,-89.491902,921960.5,,,,,,,
Compostela,terrenos en zona country,goodlers,,5916407.0,6740979.0,2024-03-20 06:38:46.719828,21.105408,-89.634949,6328693.0,,,,,,,
Tribanna residencial,terrenos en conkal,goodlers,,462500.0,559625.0,2024-03-20 06:38:46.719828,21.107806,-89.539216,511062.5,,,,,,,
Aldea Xcambo - Residencial Quetzal,terrenos en dzemulyucatan,goodlers,yucatan,501680.0,2140080.0,2024-03-20 06:38:46.719828,20.967394,-89.624231,1320880.0,,,,,,yucatan,
La Región,terrenos en komchen,goodlers,komchen,825000.0,1787500.0,2024-03-20 06:38:46.719828,21.142333,-89.652383,1306250.0,,,,,,komchen,
Oviedo,terrenos y casas en cholul,goodlers,cholul,1148000.0,4365000.0,2024-03-20 06:38:46.719828,21.059675,-89.544248,2756500.0,,,,,,cholul,
Áira Residencial,terrenos en cholul,goodlers,cholul,1001772.0,1281742.0,2024-03-20 06:38:46.719828,21.056482,-89.548303,1141757.0,,,,,,cholul,
Ascende,terrenos en uman,goodlers,,773393.0,924000.0,2024-03-20 06:38:46.719828,20.857231,-89.758642,848696.5,,,,,,,
Éntretat,terrenos en santa gertrudis copo,goodlers,santa gertrudis copo,1592844.0,1918539.0,2024-03-20 06:38:46.719828,21.061778,-89.574621,1755691.5,,,,,,santa gertrudis copo,
