desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,preciometro,mts,descripcion
Vía Cholul,terrenos en cholul,goodlers,cholul,1269027.0,3619201.0,2024-03-17 15:48:46.907003,21.04011,-89.518831,,,,,
Vía Kali,terrenos en cholul,goodlers,cholul,1136551.0,1136551.0,2024-03-17 15:48:46.907003,21.037847,-89.572668,,,,,
Tamara,terrenos en zona country,goodlers,,4797033.0,5775924.0,2024-03-17 15:48:46.907003,21.106305,-89.633329,,,,,
Dzidzil-ha,terrenos en dzidzilche,goodlers,dzidzilche,656383.0,1904896.0,2024-03-17 15:48:46.907003,21.158645,-89.697692,,,,,
Compostela,terrenos en zona country,goodlers,,5916407.0,6740979.0,2024-03-17 15:48:46.907003,21.105408,-89.634949,,,,,
Real Portanza,terrenos en conkal,goodlers,,710400.0,1133521.0,2024-03-17 15:48:46.907003,21.085284,-89.491902,,,,,
Gran Kanan,terrenos en telchac,goodlers,,252000.0,322000.0,2024-03-17 15:48:46.907003,21.316266,-89.254816,,,,,
Cuatro Lagos,terrenos en sierra papacal,goodlers,sierra papacal,313053.0,666790.0,2024-03-17 15:48:46.907003,21.126322,-89.845503,,,,,
Albanna Residencial,terrenos en conkal,goodlers,,443520.0,443520.0,2024-03-17 15:48:46.907003,21.085324,-89.488619,,,,,
Morabela,terrenos en tixcuytun,goodlers,tixcuytun,1763231.0,3539757.0,2024-03-17 15:48:46.907003,21.048641,-89.5805,,,,,
Plenum Residencial,terrenos en cholul,goodlers,cholul,1244100.0,1244100.0,2024-03-17 15:48:46.907003,21.048781,-89.529281,,,,,
Quadra,terrenos en sierra papacal,goodlers,sierra papacal,498000.0,600000.0,2024-03-17 15:48:46.907003,21.098359,-89.821608,,,,,
Aldea Xcambo - Residencial Quetzal,terrenos en dzemulyucatan,goodlers,yucatan,501680.0,2140080.0,2024-03-17 15:48:46.907003,20.967394,-89.624231,,,,,
Tribanna residencial,terrenos en conkal,goodlers,,462500.0,559625.0,2024-03-17 15:48:46.907003,21.107806,-89.539216,,,,,
Oviedo,terrenos y casas en cholul,goodlers,cholul,1148000.0,4365000.0,2024-03-17 15:48:46.907003,21.059675,-89.544248,,,,,
El Cortijo,terrenos en zona country,goodlers,,2804346.0,4467515.0,2024-03-17 15:48:46.907003,21.111189,-89.599469,,,,,
Stella Sisal,terrenos en sisal,goodlers,,287750.0,711875.0,2024-03-17 15:48:46.907003,21.086926,-89.928072,,,,,
Campo Magno,terrenos en temozon norte,goodlers,temozon norte,1813179.0,4739934.0,2024-03-17 15:48:46.907003,21.116273,-89.623201,,,,,
Gran Nikté Yucatán,terrenos en hunucma,goodlers,,330000.0,647500.0,2024-03-17 15:48:46.907003,21.071069,-89.914339,,,,,
Tagora,terrenos en conkal,goodlers,,365145.0,365145.0,2024-03-17 15:48:46.907003,21.085324,-89.475916,,,,,
Vida Kuché,terrenos en conkal,goodlers,,817974.0,1002566.0,2024-03-17 15:48:46.907003,21.092932,-89.561446,,,,,
Silvesta Privada Residencial,terrenos en conkal,goodlers,,571876.0,901057.0,2024-03-17 15:48:46.907003,21.082922,-89.541147,,,,,
Mirador,terrenos en komchen,goodlers,komchen,1617000.0,2940000.0,2024-03-17 15:48:46.907003,21.107632,-89.6526,,,,,
Olivia,terrenos en conkal,goodlers,,2785088.0,2785088.0,2024-03-17 15:48:46.907003,21.075972,-89.506161,,,,,
Éntretat,terrenos en santa gertrudis copo,goodlers,santa gertrudis copo,1592844.0,1918539.0,2024-03-17 15:48:46.907003,21.061778,-89.574621,,,,,
Sahé industrial,terrenos en sahe,goodlers,,1813700.0,1813700.0,2024-03-17 15:48:46.907003,20.910614,-89.464277,,,,,
Morera,terrenos en cholul,goodlers,cholul,1034514.0,1180105.0,2024-03-17 15:48:46.907003,21.044155,-89.535482,,,,,
Aldoria Terrenos,terrenos en conkal,goodlers,,860200.0,1201288.0,2024-03-17 15:48:46.907003,21.056812,-89.543378,,,,,
Sinan Kai,terrenos en chicxulub puerto,goodlers,,300000.0,595000.0,2024-03-17 15:48:46.907003,21.232926,-89.573076,,,,,
Lotes Cittadela,terrenos en santa gertrudis copo,goodlers,santa gertrudis copo,4454423.0,4454423.0,2024-03-17 15:48:46.907003,21.044665,-89.58136,,,,,
Zena Residencial,terrenos en conkal,goodlers,,1285800.0,1285800.0,2024-03-17 15:48:46.907003,21.062565,-89.547044,,,,,
Hacienda Kikteil,terrenos en kikteil,goodlers,kikteil,1823500.0,1823500.0,2024-03-17 15:48:46.907003,21.128884,-89.689462,,,,,
Aristea,terrenos en komchen,goodlers,komchen,477000.0,2827815.0,2024-03-17 15:48:46.907003,21.090372,-89.647995,,,,,
Mistika,terrenos en chablekal,goodlers,chablekal,1638000.0,2158688.0,2024-03-17 15:48:46.907003,21.108867,-89.597795,,,,,
Serena Santa fe,terrenos en santa fe norte,goodlers,,900000.0,1120000.0,2024-03-17 15:48:46.907003,21.022245,-89.672125,,,,,
Áira Residencial,terrenos en cholul,goodlers,cholul,1001772.0,1281742.0,2024-03-17 15:48:46.907003,21.056482,-89.548303,,,,,
Andra,terrenos en cittadela,goodlers,,6907518.0,6907518.0,2024-03-17 15:48:46.907003,21.044661,-89.581392,,,,,
Lakuun,terrenos en komchen,goodlers,komchen,915000.0,705000.0,2024-03-17 15:48:46.907003,21.1015,-89.692896,,,,,
Zendera,terrenos en conkal,goodlers,,779000.0,779000.0,2024-03-17 15:48:46.907003,21.049253,-89.524448,,,,,
Residencial Sakche,terrenos en baca,goodlers,,250000.0,300000.0,2024-03-17 15:48:46.907003,21.094934,-89.399355,,,,,
Fiora Lotes residenciales,terrenos en cholul,goodlers,cholul,1595000.0,2503204.0,2024-03-17 15:48:46.907003,21.045357,-89.528959,,,,,
Pedregales de Misné balám Lotes,terrenos en misne balam,goodlers,,400000.0,460000.0,2024-03-17 15:48:46.907003,21.17195,-89.607322,,,,,
Blanca Mérida,terrenos en komchen,goodlers,komchen,645823.0,1869660.0,2024-03-17 15:48:46.907003,21.125158,-89.699893,,,,,
Parque Caucel,terrenos en caucel,goodlers,caucel,400000.0,1000000.0,2024-03-17 15:48:46.907003,21.032842,-89.814635,,,,,
Praderas del Mayab,terrenos en conkal,goodlers,,645297.0,645297.0,2024-03-17 15:48:46.907003,21.098137,-89.53501,,,,,
Piaró,terrenos en tamanche,goodlers,tamanche,631540.0,1143034.0,2024-03-17 15:48:46.907003,21.156179,-89.642979,,,,,
Makúh,terrenos en carretera merida  progreso,goodlers,,519350.69,1517277.5,2024-03-17 15:48:46.907003,21.159463,-89.63702,,,,,
La Región,terrenos en komchen,goodlers,komchen,825000.0,1787500.0,2024-03-17 15:48:46.907003,21.142333,-89.652383,,,,,
Provincia Residencial,terrenos en dzidzilche,goodlers,dzidzilche,1654479.0,6404902.0,2024-03-17 15:48:46.907003,21.144014,-89.661052,,,,,
Tamankaya,terrenos en carretera merida  progreso,goodlers,,1784900.0,1784900.0,2024-03-17 15:48:46.907003,21.141693,-89.64277,,,,,
Camporal Temozón Living,terrenos en temozon norte,goodlers,temozon norte,2713500.0,4341600.0,2024-03-17 15:48:46.907003,21.053047,-89.617622,,,,,
Aranza,terrenos en santa maria yaxche,goodlers,santa maria yaxche,1903000.0,2118000.0,2024-03-17 15:48:46.907003,21.124961,-89.637277,,,,,
Alena Residencial,terrenos en alena residencial,goodlers,,323113.0,668570.0,2024-03-17 15:48:46.907003,21.180979,-89.614592,,,,,
Ascende,terrenos en uman,goodlers,,773393.0,924000.0,2024-03-17 15:48:46.907003,20.857231,-89.758642,,,,,
,Renta Departamento amueblado,easybroker,,,,2024-03-17 16:03:18.192606,32.5054737,-116.9889213,"$3,109,600
            En Venta",,,,
,Venta de casa nueva en Pedregal de Schoensttat 1,easybroker,,,,2024-03-17 16:03:18.192606,20.5373680487,-100.4137945175,"$90,000,000
            En Venta",,,,
,Terreno ubicado en Uman cerca de  Mexfiber de 12 Has,easybroker,,,,2024-03-17 16:03:18.192606,20.8888056186,-89.7588157654,"$2,300,000
            En Venta",,,,
,|Se vende casa en juan Pablo |,easybroker,,,,2024-03-17 16:03:18.192606,20.9768677958,-89.677233696,"$1,875,000
            En Venta",,,,
,"Terreno Industrial  en Umán cerca de   Ureblock y Larc Industries, e 2,500.00 m2",easybroker,,,,2024-03-17 16:03:18.192606,20.895060261,-89.7648239136,"$2,770,000
            En Venta",,,,
,"EN VENTA DEPARTAMENTO EN TEMOZÓN, NORTE, MÉRIDA, 2 RECÁMARAS",easybroker,,,,2024-03-17 16:03:18.192606,,,"$60,000,000
            En Venta",,,,
,Terreno Industrial  en Uman cerca de  Alpen Extrusión de 8 Has,easybroker,,,,2024-03-17 16:03:18.192606,20.895060261,-89.7648239136,"$2,670,000
            En Venta",,,,
,Venta de casa nueva en Pedregal de Schoenstatt,easybroker,,,,2024-03-17 16:03:18.192606,20.5370867338,-100.4136657715,"$7,860,494
            En Venta",,,,
,DEPARTAMENTO EN VENTA EN BOSQUES DE LAS LOMAS,easybroker,,,,2024-03-17 16:03:18.192606,19.3857611,-99.2778198,"$5,750,000
            En Venta",,,,
,CASA EN RENTA DE UN PISO EN XCANATUN YUC.,easybroker,,,,2024-03-17 16:03:18.192606,21.077403,-89.6307013,"$1,600,000
            En Venta",,,,
,VENTA DEPARTAMENTO TORRE SOL EN TULE,easybroker,,,,2024-03-17 16:03:18.192606,25.6549084,-100.4491174,"$60,413,568
            En Venta",,,,
,"Casa en renta en Cholul, Mérida, Yucatán.",easybroker,,,,2024-03-17 16:03:18.192606,21.0411724,-89.5550539,"$25,500,000
            En Venta",,,,
,Local 90m2 con traspaso en Condesa,easybroker,,,,2024-03-17 16:03:18.192606,,,"US$ 5,300,000
            En Venta",,,,
,Terreno Industrial cerca de cerca de la Carretera Mérida-Uman de 5.67 Has,easybroker,,,,2024-03-17 16:03:18.192606,20.91466447,-89.7111357913,"$4,900,000
            En Venta",,,,
,CASA EN VENTA,easybroker,,,,2024-03-17 16:03:18.192606,,,"$16,500,000
            En Venta",,,,
,Exclusivo Departamento en venta en Zona Hotelera,easybroker,,,,2024-03-17 16:03:18.192606,21.1347621,-86.7461357,"$2,500,000
            En Venta",,,,
,CASA EN PRE VENTA  PARQUE ANAHUAC LOMAS DE ANGELOPOLIS,easybroker,,,,2024-03-17 16:03:18.192606,18.99466,-98.2761016,"$40,000,000
            En Venta",,,,
,Penthouse moderno lujoso frente a colomos,easybroker,,,,2024-03-17 16:03:18.192606,20.7128677,-103.3883338,"$4,000,000
            En Venta",,,,
,Venta de casa residencial,easybroker,,,,2024-03-17 16:03:18.192606,19.7215205,-99.4390534,"$7,900,000
            En Venta",,,,
,"LOCAL COMERCIAL ROMA NTE, PIE DE CALLE,  URUAPAN",easybroker,,,,2024-03-17 16:03:18.192606,19.4209049,-99.164535,"$5,600,000
            En Venta",,,,
,"VENTA DEPTO. FRENTE AL MAR, CANCUN, QUINTANA ROO",easybroker,,,,2024-03-17 16:03:18.192606,21.1347621,-86.7461357,,,,,
,"Casa con Rec. en PB, cerca TEC de MTY",easybroker,,,,2024-03-17 16:03:18.192606,20.6066996,-100.3590592,,,,,
,Magnífico Depto frente al Centro ComercialSta Fe,easybroker,,,,2024-03-17 16:03:18.192606,19.3625394,-99.275938,,,,,
,Departamento de 1 recámara con balcón y gran ubicación,easybroker,,,,2024-03-17 16:03:18.192606,19.436907546,-99.1902918728,,,,,
,Renta Departamento amueblado,easybroker,,,,2024-03-17 16:03:18.192606,32.5054737,-116.9889213,"$3,109,600
            En Venta",,,,
,Venta de casa nueva en Pedregal de Schoensttat 1,easybroker,,,,2024-03-17 16:03:18.192606,20.5373680487,-100.4137945175,"$90,000,000
            En Venta",,,,
,Terreno ubicado en Uman cerca de  Mexfiber de 12 Has,easybroker,,,,2024-03-17 16:03:18.192606,20.8888056186,-89.7588157654,"$2,300,000
            En Venta",,,,
,|Se vende casa en juan Pablo |,easybroker,,,,2024-03-17 16:03:18.192606,20.9768677958,-89.677233696,"$1,875,000
            En Venta",,,,
,"Terreno Industrial  en Umán cerca de   Ureblock y Larc Industries, e 2,500.00 m2",easybroker,,,,2024-03-17 16:03:18.192606,20.895060261,-89.7648239136,"$2,770,000
            En Venta",,,,
,"EN VENTA DEPARTAMENTO EN TEMOZÓN, NORTE, MÉRIDA, 2 RECÁMARAS",easybroker,,,,2024-03-17 16:03:18.192606,,,"$60,000,000
            En Venta",,,,
,Terreno Industrial  en Uman cerca de  Alpen Extrusión de 8 Has,easybroker,,,,2024-03-17 16:03:18.192606,20.895060261,-89.7648239136,"$2,670,000
            En Venta",,,,
,Venta de casa nueva en Pedregal de Schoenstatt,easybroker,,,,2024-03-17 16:03:18.192606,20.5370867338,-100.4136657715,"$7,860,494
            En Venta",,,,
