desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia,size,descripcion,superficie,colloc,precio_m2
Verna Residencial,casas en conkal,goodlers,,3135000.0,3980000.0,2024-03-16 20:42:31.147974,21.054569,-89.53471,3557500.0,,,,,,,,,,
Enuma Urban Homes,casas en temozon norte,goodlers,temozon norte,4329593.0,4927550.0,2024-03-16 20:42:31.147974,21.059675,-89.613845,4628571.5,,,,,,,,,temozon norte,
Alameda,casas en chuburna,goodlers,,2800000.0,2800000.0,2024-03-16 20:42:31.147974,21.010174,-89.638627,2800000.0,,,,,,,,,,
Pedregales de Misné balám,casas en misne balam,goodlers,,1607000.0,3311170.0,2024-03-16 20:42:31.147974,21.171149,-89.606722,2459085.0,,,,,,,,,,
Zensia Residencial,casas en conkal,goodlers,,2360000.0,3040000.0,2024-03-16 20:42:31.147974,21.064648,-89.527726,2700000.0,,,,,,,,,,
Andria,casas en sitpach,goodlers,sitpach,2817000.0,2817000.0,2024-03-16 20:42:31.147974,21.029375,-89.532349,2817000.0,,,,,,,,,sitpach,
Kenatta Luxury Villas,casas y townhouses en temozon norte,goodlers,temozon norte,4500000.0,4500000.0,2024-03-16 20:42:31.147974,21.054118,-89.609704,4500000.0,,,,,,,,,temozon norte,
KOBÁ Townhouses,townhouses y casas en temozon norte,goodlers,temozon norte,3600000.0,3600000.0,2024-03-16 20:42:31.147974,21.066644,-89.607698,3600000.0,,,,,,,,,temozon norte,
Gran Santa Fe Norte,casas en caucel,goodlers,caucel,2316000.0,4100000.0,2024-03-16 20:42:31.147974,20.967394,-89.624231,3208000.0,,,,,,,,,caucel,
Nova Temozón,townhouses departamentos y casas en temozon norte,goodlers,temozon norte,1650000.0,2620000.0,2024-03-16 20:42:31.147974,21.07189,-89.619542,2135000.0,,,,,,,,,temozon norte,
Puerto Dorado,casas en chelem,goodlers,,3744900.0,3744900.0,2024-03-16 20:42:31.147974,21.272462,-89.71431,3744900.0,,,,,,,,,,
Xcanatún Townhouses,townhouses en xcanatun,goodlers,xcanatun,3190000.0,5150000.0,2024-03-16 20:42:31.147974,21.082181,-89.6379,4170000.0,,,,,,,,,xcanatun,
Sian Kaan,casas en caucel,goodlers,caucel,1350000.0,1527840.0,2024-03-16 20:42:31.147974,20.981179,-89.706972,1438920.0,,,,,,,,,caucel,
Cumbres Novonorte,casas en cholul,goodlers,cholul,2705000.0,3040000.0,2024-03-16 20:42:31.147974,21.041111,-89.521921,2872500.0,,,,,,,,,cholul,
Cittadela,casas en santa gertrudis copo,goodlers,santa gertrudis copo,7800000.0,9700000.0,2024-03-16 20:42:31.147974,21.044741,-89.581401,8750000.0,,,,,,,,,santa gertrudis copo,
Arbelia Residencial,casas en conkal,goodlers,,3490000.0,3690000.0,2024-03-16 20:42:31.147974,21.050444,-89.506986,3590000.0,,,,,,,,,,
Via Temozón,casas en temozon norte,goodlers,temozon norte,3150000.0,3150000.0,2024-03-16 20:42:31.147974,21.062233,-89.62237,3150000.0,,,,,,,,,temozon norte,
Privada Inara,casas en cholul,goodlers,cholul,3575000.0,4445000.0,2024-03-16 20:42:31.147974,21.034422,-89.547584,4010000.0,,,,,,,,,cholul,
Asensa Temozón,casas en temozon norte,goodlers,temozon norte,4150000.0,4395000.0,2024-03-16 20:42:31.147974,21.073271,-89.591143,4272500.0,,,,,,,,,temozon norte,
Fiora Residencial,casas en cholul,goodlers,cholul,4100000.0,4100000.0,2024-03-16 20:42:31.147974,21.045157,-89.528444,4100000.0,,,,,,,,,cholul,
Amalia,townhouses en cittadela,goodlers,,7500000.0,9400000.0,2024-03-16 20:42:31.147974,21.044656,-89.581439,8450000.0,,,,,,,,,,
Parque Itzimná Residencial,casas en itzimna,goodlers,itzimna,8350000.0,9150000.0,2024-03-16 20:42:31.147974,20.989909,-89.611212,8750000.0,,,,,,,,,itzimna,
Amaral,casas en real montejo,goodlers,real montejo,2298000.0,2820000.0,2024-03-16 20:42:31.147974,21.040574,-89.675681,2559000.0,,,,,,,,,real montejo,
Casas Malva Tipo 1,casas en conkal,goodlers,,7690000.0,8790000.0,2024-03-16 20:42:31.147974,21.060937,-89.546451,8240000.0,,,,,,,,,,
Alzare Residencial,casas en dzitya y real montejo,goodlers,real montejo,2895000.0,3225000.0,2024-03-16 20:42:31.147974,21.030557,-89.671073,3060000.0,,,,,,,,,real montejo,
Ceres Homes,casas en dzitya,goodlers,dzitya,3650000.0,3650000.0,2024-03-16 20:42:31.147974,21.056401,-89.648693,3650000.0,,,,,,,,,dzitya,
Botanico Conkal,casas en conkal,goodlers,,2800000.0,4973000.0,2024-03-16 20:42:31.147974,21.078277,-89.524667,3886500.0,,,,,,,,,,
Amaneceres Nuevo Oriente,casas en villas de oriente,goodlers,,940000.0,1442600.0,2024-03-16 20:42:31.147974,20.966673,-89.537971,1191300.0,,,,,,,,,,
NORTEMÉRIDA,casas en komchen,goodlers,komchen,8990000.0,8990000.0,2024-03-16 20:42:31.147974,21.108543,-89.653544,8990000.0,,,,,,,,,komchen,
Amanha Signature Residences,casas en yucatan country club,goodlers,yucatan country club,14100000.0,14100000.0,2024-03-16 20:42:31.147974,21.116053,-89.605767,14100000.0,,,,,,,,,yucatan country club,
Savara,casas en conkal,goodlers,,2950000.0,3500000.0,2024-03-16 20:42:31.147974,21.054569,-89.520548,3225000.0,,,,,,,,,,
Aldoria,casas en conkal,goodlers,,2705000.0,3220000.0,2024-03-16 20:42:31.147974,21.056932,-89.543851,2962500.0,,,,,,,,,,
Margaritas 190,casas en santa gertrudis copo,goodlers,santa gertrudis copo,4600000.0,5116000.0,2024-03-16 20:42:31.147974,21.044956,-89.582303,4858000.0,,,,,,,,,santa gertrudis copo,
Milea,departamentos y casas en zona country,goodlers,,2020000.0,4187000.0,2024-03-16 20:42:31.147974,21.106465,-89.630754,3103500.0,,,,,,,,,,
Návita Residencial,casas en santa gertrudis copo,goodlers,santa gertrudis copo,5925000.0,7528000.0,2024-03-16 20:42:31.147974,21.044982,-89.595813,6726500.0,,,,,,,,,santa gertrudis copo,
Malva tipo 2,casas en conkal,goodlers,,8090000.0,8290000.0,2024-03-16 20:42:31.147974,21.060937,-89.546599,8190000.0,,,,,,,,,,
Ozonta,casas en temozon norte,goodlers,temozon norte,4580000.0,4580000.0,2024-03-16 20:42:31.147974,21.067715,-89.605869,4580000.0,,,,,,,,,temozon norte,
Capri Cholul,casas en cholul,goodlers,cholul,3225000.0,4060000.0,2024-03-16 20:42:31.147974,21.042954,-89.523659,3642500.0,,,,,,,,,cholul,
Nava Townhouses,townhouses en dzitya,goodlers,dzitya,2850000.0,2850000.0,2024-03-16 20:42:31.147974,21.080579,-89.652287,2850000.0,,,,,,,,,dzitya,
Óku Urban Homes,casas en temozon norte,goodlers,temozon norte,4100000.0,4100000.0,2024-03-16 20:42:31.147974,21.075694,-89.616099,4100000.0,,,,,,,,,temozon norte,
Palta 152,casas en cholul,goodlers,cholul,2608000.0,4834000.0,2024-03-16 20:42:31.147974,21.042292,-89.525938,3721000.0,,,,,,,,,cholul,
Casa Seis Temozón,casas en temozon norte,goodlers,temozon norte,5760000.0,6540000.0,2024-03-16 20:42:31.147974,21.074072,-89.623888,6150000.0,,,,,,,,,temozon norte,
Vitúa,casas en gran san pedro cholul,goodlers,gran san pedro cholul,3290000.0,3580000.0,2024-03-16 20:42:31.147974,21.023126,-89.557519,3435000.0,,,,,,,,,gran san pedro cholul,
Campocielo Casas,casas en dzitya,goodlers,dzitya,2350000.0,2850000.0,2024-03-16 20:42:31.147974,21.059815,-89.638736,2600000.0,,,,,,,,,dzitya,
Dzityá 8,casas en dzitya,goodlers,dzitya,3600000.0,3600000.0,2024-03-16 20:42:31.147974,20.967394,-89.624231,3600000.0,,,,,,,,,dzitya,
Almasur,casas en fraccionamiento del sur,goodlers,del sur,991000.0,1757800.0,2024-03-16 20:42:31.147974,20.923507,-89.612086,1374400.0,,,,,,,,,del sur,
Gretta Villas,casas en cittadela,goodlers,,12390000.0,12390000.0,2024-03-16 20:42:31.147974,21.042393,-89.584062,12390000.0,,,,,,,,,,
Sabbia Townhouse,townhouses en temozon norte,goodlers,temozon norte,2999000.0,3749000.0,2024-03-16 20:42:31.147974,21.075934,-89.615863,3374000.0,,,,,,,,,temozon norte,
Ibiza Temozón,casas en temozon norte,goodlers,temozon norte,4299000.0,5100000.0,2024-03-16 20:42:31.147974,21.075794,-89.61346,4699500.0,,,,,,,,,temozon norte,
Loreto,casas en cittadela,goodlers,,14590000.0,14590000.0,2024-03-16 20:42:31.147974,21.045818,-89.582431,14590000.0,,,,,,,,,,
Chacté Residencial,casas en dzitya,goodlers,dzitya,5195000.0,5295000.0,2024-03-16 20:42:31.147974,21.04752,-89.654443,5245000.0,,,,,,,,,dzitya,
Idilia,casas en conkal,goodlers,,1950000.0,2405000.0,2024-03-16 20:42:31.147974,21.068801,-89.552931,2177500.0,,,,,,,,,,
Andae,townhouses en dzitya,goodlers,dzitya,2500000.0,2600000.0,2024-03-16 20:42:31.147974,21.046398,-89.677489,2550000.0,,,,,,,,,dzitya,
Patio Carey,casas en temozon norte,goodlers,temozon norte,3831667.0,6553913.0,2024-03-16 20:42:31.147974,21.056061,-89.620905,5192790.0,,,,,,,,,temozon norte,
Lenora,casas en temozon norte,goodlers,temozon norte,7550000.0,8320000.0,2024-03-16 20:42:31.147974,21.080559,-89.616764,7935000.0,,,,,,,,,temozon norte,
Boreana Residencial,casas en cholul,goodlers,cholul,3200000.0,4325000.0,2024-03-16 20:42:31.147974,20.967394,-89.624231,3762500.0,,,,,,,,,cholul,
Paraíso Santa Fe,casas en caucel,goodlers,caucel,1500000.0,1950000.0,2024-03-16 20:42:31.147974,21.016757,-89.684677,1725000.0,,,,,,,,,caucel,
,casa en venta en lomas dzitya merida,easybroker,dzitya,,,2024-03-16 20:59:09.608300,21.0503401633,-89.6783065796,4990000.0,343.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya,,,,dzitya,14548.104956268222
,gran oportunidad en venta  estupenda ubicacion en polanco,easybroker,,,,2024-03-16 20:59:09.608300,19.4323918,-99.1895905,165000000.0,65.0,"Departamento en Polanco, Miguel Hidalgo",,,,,,,,2538461.5384615385
,departamento tipo loft en providencia,easybroker,providencia,,,2024-03-16 20:59:09.608300,,,4500000.0,36.0,"Departamento en Providencia, Guadalajara",,0.0,,,,,providencia,125000.0
,hermosa casa en san miguel de allende,easybroker,san miguel,,,2024-03-16 20:59:09.608300,20.9093527442,-100.7550680691,5018000.0,155.0,"Casa en condominio en San Antonio, San Miguel de Allende",2.0,3.0,,,,,san miguel,32374.1935483871
,casa en fracc. tres caminos  2do sector guadalupe n.l.,easybroker,,,,2024-03-16 20:59:09.608300,25.660694,-100.1890539,38820000.0,80.0,"Casa en 3 Caminos Norte, Guadalupe",,2.0,,,,,,485250.0
,departamentos de entrega inmediata atenor salas benito juarez,easybroker,,,,2024-03-16 20:59:09.608300,19.4039346,-99.1475279,180675000.0,69.0,"Departamento en Atenor Salas, Benito Juárez",2.0,2.0,,,,,,2618478.2608695654
,departamento tipo loft amueblado en providencia,easybroker,providencia,,,2024-03-16 20:59:09.608300,,,5000000.0,36.0,"Departamento en Providencia, Guadalajara",,0.0,,,,,providencia,138888.88888888888
,casa en venta en lomas dzitya merida,easybroker,dzitya,,,2024-03-16 20:59:09.608300,21.0503401633,-89.6783065796,52500000.0,343.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya,,,,dzitya,153061.22448979592
,gran oportunidad en venta  estupenda ubicacion en polanco,easybroker,,,,2024-03-16 20:59:09.608300,19.4323918,-99.1895905,4500000.0,65.0,"Departamento en Polanco, Miguel Hidalgo",,,,,,,,69230.76923076923
,departamento tipo loft en providencia,easybroker,providencia,,,2024-03-16 20:59:09.608300,,,98493792.0,36.0,"Departamento en Providencia, Guadalajara",,0.0,,,,,providencia,2735938.6666666665
,hermosa casa en san miguel de allende,easybroker,san miguel,,,2024-03-16 20:59:09.608300,20.9093527442,-100.7550680691,3990000.0,155.0,"Casa en condominio en San Antonio, San Miguel de Allende",2.0,3.0,,,,,san miguel,25741.935483870966
,casa en fracc. tres caminos  2do sector guadalupe n.l.,easybroker,,,,2024-03-16 20:59:09.608300,25.660694,-100.1890539,180675000.0,80.0,"Casa en 3 Caminos Norte, Guadalupe",,2.0,,,,,,2258437.5
,venta casa 3 ambientes komchen,metros_cubicos,komchen,,,2024-03-16 21:06:01.279679,,,7987110.0,,,,4.0,,3.0,,,komchen,
,hermosa casa venta merida residencial parque central,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5700000.0,,,,4.0,,3.0,,,,
,casa en el barrio de santiago merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,9600000.0,,,,5.0,,4.0,,,,
,casa  en venta en merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5849000.0,,,,4.0,,4.0,,,,
,casa en venta parque central con paneles solares,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6200000.0,,,,3.0,,4.0,,,,
,villa en venta en norden 48 temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,4280000.0,,,,2.0,,3.0,,,temozon norte,
,casa con alberca en venta dzitya zona norte de merida,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,6600000.0,,,,4.0,,4.0,,,dzitya,
,casa en venta en merida en dzitya bellavista,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3790000.0,,,,3.0,,3.0,,,,
,venta casa 3 ambientes jardines de vista alegre ii,metros_cubicos,jardines de vista alegre,,,2024-03-16 21:06:01.279679,,,4500000.0,,,,3.0,,3.0,,,jardines de vista alegre,
,townhouse en venta con alberca en temozon norte merida,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,2999000.0,,,,2.0,,2.0,,,temozon norte,
,casa en venta de una planta con alberca y cuarto de servicio en montebello merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,10500000.0,,,,4.0,,3.0,,,,
,casas en venta economicas en merida de 3 recamaras  mod 111,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1550000.0,,,,2.0,,3.0,,,,
,casa de una planta en venta en merida modelo milan de 3 recamaras prana dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6845000.0,,,,4.0,,3.0,,,,
,casa en pre venta merida villas la hacienda,metros_cubicos,villas la hacienda,,,2024-03-16 21:06:01.279679,,,11400000.0,,,,4.0,,4.0,,,villas la hacienda,
,casa en venta en merida  yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6100000.0,,,,3.0,,3.0,,,,
,venta casa 2 ambientes merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,1500000.0,,,,1.0,,2.0,,,merida centro,
,venta casa 3 ambientes santa maria,metros_cubicos,santa maria,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,3.0,,3.0,,,santa maria,
,casa en  casa en venta en centro de merida a una cuadra de plaza santa lucia,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,21000000.0,,,,4.0,,4.0,,,,
,casa con alberca en privada en venta  zona norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6600000.0,,,,4.0,,4.0,,,,
,casa en venta en merida en cholul en privada  con rooftop,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2290000.0,,,,2.0,,2.0,,,cholul,
,excelente oportunidad de obtener esta hermosa casa a un excelente precio,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,710000.0,,,,3.0,,3.0,,,,
,casascamelia en venta en almena privada residencial dzity,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4880000.0,,,,4.0,,4.0,,,,
,casa una sola planta en  yucatan country club  cerca anahuac,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,24990000.0,,,,4.0,,4.0,,,yucatan country club,
,casa en venta en merida santa gertrudis copo,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,13000000.0,,,,6.0,,4.0,,,santa gertrudis copo,
,casa en preventa en merida villas la hacienda,metros_cubicos,villas la hacienda,,,2024-03-16 21:06:01.279679,,,11400000.0,,,,4.0,,4.0,,,villas la hacienda,
,casa en venta en merida col. campestre,metros_cubicos,campestre,,,2024-03-16 21:06:01.279679,,,14500000.0,,,,3.0,,3.0,,,campestre,
,casa para venta en  yucatan country club  cerca universidad,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,14950000.0,,,,4.0,,4.0,,,yucatan country club,
,casa en venta merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16000000.0,,,,3.0,,3.0,,,,
,casasazalea en venta en almena privada residencial dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,4330000.0,,,,3.0,,3.0,,,dzitya,
,casa venta en montes de ame en el norte de merida,metros_cubicos,montes de ame,,,2024-03-16 21:06:01.279679,,,10500000.0,,,,2.0,,2.0,,,montes de ame,
,casa en venta merida cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8382150.0,,,,4.0,,3.0,,,,
,casa en venta temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,7950000.0,,,,3.0,,3.0,,,temozon norte,
,hermosa casa recien remodelada en merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,7200000.0,,,,4.0,,3.0,,,merida centro,
,casa en ventacholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8900000.0,,,,3.0,,3.0,,,,
,venta casa 2 ambientes chuminopolis,metros_cubicos,chuminopolis,,,2024-03-16 21:06:01.279679,,,950000.0,,,,1.0,,2.0,,,chuminopolis,
,casa tipo townhouse en temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,2990000.0,,,,2.0,,2.0,,,temozon norte,
,venta de casa en dzitya merida,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3480000.0,,,,4.0,,4.0,,,dzitya,
,casa en venta   gaviones   santa gertudris copo merida,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,6950000.0,,,,5.0,,3.0,,,santa gertrudis copo,
,casa en venta en itzaez meridayucatan. ccv7.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,3.0,,3.0,,,,
,casa en venta en san ramon norte,metros_cubicos,san ramon norte i,,,2024-03-16 21:06:01.279679,,,14500000.0,,,,4.0,,3.0,,,san ramon norte i,
,venta casa 2 ambientes francisco villa,metros_cubicos,francisco villa,,,2024-03-16 21:06:01.279679,,,915000.0,,,,1.0,,2.0,,,francisco villa,
,casa en venta en merida centro remodelada barrio san sebasti,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,4900000.0,,,,3.0,,3.0,,,merida centro,
,venta casa 6 ambientes cabo norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1000000.0,,,,5.0,,6.0,,,,
,venta casa 2 ambientes chichi suarez,metros_cubicos,chichi suarez,,,2024-03-16 21:06:01.279679,,,2100000.0,,,,2.0,,2.0,,,chichi suarez,
,casas prana en venta en dzitya mod. milan,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,6995000.0,,,,5.0,,4.0,,,dzitya,
,casa en venta  yucatan country club merida,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,33000000.0,,,,8.0,,5.0,,,yucatan country club,
,casa en venta centro merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2900000.0,,,,3.0,,3.0,,,,
,casa en venta   yucatan country club merida,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,29000000.0,,,,6.0,,4.0,,,yucatan country club,
