desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
Zensia Residencial,casas en conkal,goodlers,,2360000.0,3040000.0,2024-02-21 12:48:26.865295,21.064648,-89.527726,,,,,,
KOBÁ Townhouses,townhouses y casas en temozon norte,goodlers,temozon norte,3600000.0,3600000.0,2024-02-21 12:48:26.865295,21.066644,-89.607698,,,,,,
Enuma Urban Homes,casas en temozon norte,goodlers,temozon norte,4329593.0,4927550.0,2024-02-21 12:48:26.865295,21.059675,-89.613845,,,,,,
Alameda,casas en chuburna,goodlers,,2800000.0,2800000.0,2024-02-21 12:48:26.865295,21.010174,-89.638627,,,,,,
Andria,casas en sitpach,goodlers,sitpach,2817000.0,2817000.0,2024-02-21 12:48:26.865295,21.029375,-89.532349,,,,,,
Verna Residencial,casas en conkal,goodlers,,3135000.0,3980000.0,2024-02-21 12:48:26.865295,21.054569,-89.53471,,,,,,
Kenatta Luxury Villas,casas y townhouses en temozon norte,goodlers,temozon norte,4500000.0,4500000.0,2024-02-21 12:48:26.865295,21.054118,-89.609704,,,,,,
Andae,townhouses en dzitya,goodlers,dzitya,2500000.0,2600000.0,2024-02-21 12:48:26.865295,21.046398,-89.677489,,,,,,
Campocielo Casas,casas en dzitya,goodlers,dzitya,2350000.0,2850000.0,2024-02-21 12:48:26.865295,21.059815,-89.638736,,,,,,
Vitúa,casas en gran san pedro cholul,goodlers,gran san pedro cholul,3290000.0,3580000.0,2024-02-21 12:48:26.865295,21.023126,-89.557519,,,,,,
Sian Kaan,casas en caucel,goodlers,caucel,1350000.0,1527840.0,2024-02-21 12:48:26.865295,20.981179,-89.706972,,,,,,
Amaneceres Nuevo Oriente,casas en villas de oriente,goodlers,,940000.0,1442600.0,2024-02-21 12:48:26.865295,20.966673,-89.537971,,,,,,
Amaral,casas en real montejo,goodlers,real montejo,2298000.0,2820000.0,2024-02-21 12:48:26.865295,21.040574,-89.675681,,,,,,
Puerto Dorado,casas en chelem,goodlers,,3744900.0,3744900.0,2024-02-21 12:48:26.865295,21.272462,-89.71431,,,,,,
Via Temozón,casas en temozon norte,goodlers,temozon norte,2625000.0,2625000.0,2024-02-21 12:48:26.865295,21.062233,-89.62237,,,,,,
Arcadia The Impossible Republic,departamentos y casas en paseo la ceiba,goodlers,la ceiba,2165050.0,4273940.0,2024-02-21 12:48:26.865295,21.092686,-89.632029,,,,,,
Cumbres Novonorte,casas en cholul,goodlers,cholul,2705000.0,3040000.0,2024-02-21 12:48:26.865295,21.041111,-89.521921,,,,,,
Óku Urban Homes,casas en temozon norte,goodlers,temozon norte,4100000.0,4100000.0,2024-02-21 12:48:26.865295,21.075694,-89.616099,,,,,,
Amalia,townhouses en cittadela,goodlers,,7500000.0,9400000.0,2024-02-21 12:48:26.865295,21.044656,-89.581439,,,,,,
Alzare Residencial,casas en dzitya y real montejo,goodlers,real montejo,2895000.0,3225000.0,2024-02-21 12:48:26.865295,21.030557,-89.671073,,,,,,
Margaritas 190,casas en santa gertrudis copo,goodlers,santa gertrudis copo,4600000.0,5116000.0,2024-02-21 12:48:26.865295,21.044956,-89.582303,,,,,,
Zamia Living,townhouses en el triunfo cholul,goodlers,el triunfo,2450000.0,2550000.0,2024-02-21 12:48:26.865295,21.035624,-89.581005,,,,,,
